Nombre y Apellido,Carrera,Promedio,Semestres cursados,Correo,Cedula,Sexo,Contraseña
Carlos Tovar,Licenciatura en Matematicas,14.89,6,carlostovar@ejemplo.com,21154611,M,%tI.5wOC
Richard Tovar,Letras,15.23,3,richardtovar@ejemplo.com,20998943,M,cArXg!W8
Angela Perez,Licenciatura en Artes,16.61,6,angelaperez@ejemplo.com,20678994,F,.pst4lO;
Daniel Perez,Ingenieria Mecanica,11.29,7,danielperez@ejemplo.com,24908639,M,sLiAwD7J
Miguel Rangel,Licenciatura en Matematicas,15.23,2,miguelrangel@ejemplo.com,23050563,M,qoNN5aiF
Vanessa Gibss,Letras,8.93,4,vanessagibss@ejemplo.com,20284204,F,Z}}wvA9!
Miguel Tovar,Ingenieria Mecanica,17.54,5,migueltovar@ejemplo.com,18289241,M,pIKjCy!8
Daniel Lowell,Ingenieria Geologica,12.97,3,daniellowell@ejemplo.com,21717008,M,arX{[%{#
Isabel Sosa,Ingenieria Electrica,10.51,3,isabelsosa@ejemplo.com,23378207,F,FSQ}OHWG
Vanessa Hernandez,Licenciatura en Matematicas,18.22,1,vanessahernandez@ejemplo.com,18119573,F,]OLD1sIA
Isabel Aldrich,Licenciatura en Matematicas,12.97,6,isabelaldrich@ejemplo.com,23225080,F,.gXxOx]I
Diego Hernandez,Licenciatura en Artes,11.29,2,diegohernandez@ejemplo.com,20811167,M,MothSTT3
Jose Brown,Letras,16.61,4,josebrown@ejemplo.com,18415257,M,d6NpJ7vi
Natacha Ortega,Ingenieria Geologica,14.89,6,natachaortega@ejemplo.com,23594924,F,]VoOGmjk
Miguel Aldrich,Ingenieria Geologica,14.89,3,miguelaldrich@ejemplo.com,19147444,M,N]n74p5O
Andreina Rangel,Ingenieria Geologica,13.81,4,andreinarangel@ejemplo.com,22826069,F,4c33Ck;C
Isabel Sosa,Ingenieria Geologica,15.23,2,isabelsosa@ejemplo.com,22881202,F,;}Fh9b#l
